nct_id,brief_title,overall_status,phase,enrollment,sponsor,interventions,primary_outcomes,countries,study_start,primary_completion,last_update_posted,source_url,retrieved_at
NCT05535569,"Phase Ib/II Study to Evaluate the Safety and Efficacy of Nivolumab in Combination With Paclitaxel in Epstein-Barr Virus(EBV)-Related, or Microsatellite Instability-High (MSI-H), or Programmed Cell Death Ligand 1 (PD-L1) Positive Advanced Gastric Cancer",COMPLETED,PHASE1; PHASE2,50,Yonsei University,"Nivolumab, Paclitaxel",(Phase Ib) Maximum Tolerated dose (MTD); (Phase Ib) Recommended phase 2 dose; (Phase II) PFS,South Korea,2017-07-17,2021-11-22,,https://clinicaltrials.gov/study/NCT05535569,2026-09-21T00:38:01.688755+00:00
NCT00062257,Irofulven in Treating Patients With Recurrent or Metastatic Gastric Cancer,COMPLETED,PHASE2,,Cancer Therapeutics Research Group,irofulven,,Australia; Hong Kong; Singapore; South Korea,2003-06,,,https://clinicaltrials.gov/study/NCT00062257,2026-09-21T00:38:01.688763+00:00
NCT04656002,"As a Second-line Treatment for Metastatic Gastric Adenocarcinoma Patients, the Safety and Effective of Vactosertib Administration in Combination With Paclitaxel+Ramucirumab is Evaluated, and a Phase 2a Clinical Trial to Biomarkers",UNKNOWN,PHASE2,43,Samsung Medical Center,Vactosertib,Objective response rate,,2022-10,2023-12,,https://clinicaltrials.gov/study/NCT04656002,2026-09-21T00:38:01.688769+00:00
NCT03941561,S-1 for 9 Months Versus 1 Year for Stage II Gastric Cancer (SMAC）,RECRUITING,PHASE3,1006,Fudan University,S-1 for 9 months; S-1 for 1 year,DFS,China,2019-01-01,2022-01-01,,https://clinicaltrials.gov/study/NCT03941561,2026-09-21T00:38:01.688775+00:00
NCT07483554,IBI343 in Combination Therapy for Advanced Malignant Solid Tumors,RECRUITING,PHASE2,389,Innovent Biologics (Suzhou) Co. Ltd.,"IBI343,Gemcitabine, Albumin-bound Paclitaxel",Objective Response Rate (ORR) evaluated according to RECIST v1.1; Incidence of Adverse Events (AE); Incidence of treatment-emergent adverse Events (TEAE); Incidence of adverse events of Special Interest (AESI); Incidence of serious adverse events (SAE); Number of participants with abnormal laboratory tests results; Number of subjects with clinically significant changes in physical examination results; Number of subjects with clinically significant changes in vital signs,China,2026-04-20,2028-03-31,,https://clinicaltrials.gov/study/NCT07483554,2026-09-21T00:38:01.688781+00:00
NCT01291407,A Phase I Study of S-1 in Combination With Radiotherapy in Locally Advanced or Recurrent Gastric Cancer,COMPLETED,PHASE1,27,Chinese Academy of Medical Sciences,S-1; S-1; S-1; S-1; S-1; S-1,"To define dose limited toxicities(DLT) of S-1, peroral BID, in treatment days concurrently with radiation therapy (RT) in locally advanced or recurrent gastric cancer.",China,2010-11,2013-08,,https://clinicaltrials.gov/study/NCT01291407,2026-09-21T00:38:01.688787+00:00
NCT02570399,High Dose SBRT for Abdominal-Pelvic Lymph Nodal Lesions in Oligometastatic Patients,UNKNOWN,NA,55,Istituto Clinico Humanitas,Oligometastatic patients with abdominal-pelvic lymph nodes,Feasibility in terms of toxicity related to radiation therapy,Italy,2015-02-26,2019-03-26,,https://clinicaltrials.gov/study/NCT02570399,2026-09-21T00:38:01.688792+00:00
NCT05975749,Adjuvant Serplulimab and Trastuzuma and Chemotherapy in Her-2+ Gastric Cancer,RECRUITING,PHASE2,114,Fudan University,Serplulimab; Trastuzuma; Chemotherapy,Disease-free survival,China,2023-01-01,2026-01-01,,https://clinicaltrials.gov/study/NCT05975749,2026-09-21T00:38:01.688797+00:00
NCT04641455,Use of Mucolytic Solution Before Upper Endoscopy,UNKNOWN,NA,120,Vitkovice Hospital,"Espumisan, N acetylcystein; Espumisan, N acetylcystein; Water","Visibility score"" evaluated by blinded performing endoscopist",Czechia,2020-12-01,2021-05-30,,https://clinicaltrials.gov/study/NCT04641455,2026-09-21T00:38:01.688802+00:00
NCT05618821,Clinical Outcomes of Indocyanine Green Tracer Using in Laparoscopic Gastrectomy With Lymph Node Dissection for Remnant Gastric Cancer,RECRUITING,PHASE2,68,Fujian Medical University,Indocyanine Green Tracer,Total Number of Retrieved Lymph Nodes,China,2022-06-03,2025-04-01,,https://clinicaltrials.gov/study/NCT05618821,2026-09-21T00:38:01.688808+00:00
