nct_id,brief_title,overall_status,phase,enrollment,sponsor,interventions,primary_outcomes,countries,study_start,primary_completion,last_update_posted,source_url,retrieved_at
NCT02557932,Comparison of 7-day PPI-based Standard Triple Therapy and 10-day Bismuth Quadruple Therapy for H. Pylori Eradication,COMPLETED,PHASE3,352,"National Cancer Center, Korea",Standard triple therapy; Bismuth quadruple therapy,H. pylori eradication rate,South Korea,2015-09,2018-12,,https://clinicaltrials.gov/study/NCT02557932,2026-09-21T00:38:01.689069+00:00
NCT00447226,"Randomized Discontinuation Study of Lapatinib Versus Placebo in Subjects With Documented Tumor Progression After Chemotherapy, or Where no Approved Therapy Exists",TERMINATED,PHASE2,32,GlaxoSmithKline,Oral lapatinib tablets or placebo tablets,Number of Participants With the Indicated Tumor Response at 12 Weeks From First Dose; Percentage of Participants Who Remained Progression-free 12 Weeks After Randomization,United States,2007-05,2009-05,,https://clinicaltrials.gov/study/NCT00447226,2026-09-21T00:38:01.689076+00:00
NCT02539225,A Study of Ramucirumab in Participants With Gastric or Gastroesophageal Junction Adenocarcinoma,COMPLETED,PHASE2,191,Eli Lilly and Company,Ramucirumab; Placebo; S-1; Oxaliplatin; Paclitaxel,Progression Free Survival (PFS),Japan; South Korea; Taiwan,2015-10-05,2017-10-25,,https://clinicaltrials.gov/study/NCT02539225,2026-09-21T00:38:01.689087+00:00
NCT00678535,Erbitux in Combination With Xeloda and Cisplatin in Advanced Esophago-gastric Cancer,COMPLETED,PHASE3,904,"Merck KGaA, Darmstadt, Germany",Cetuximab; Capecitabine; Cisplatin,Progression-free Survival (PFS) Time: Independent Review Committee (IRC) Assessments,Argentina; Australia; Austria; Belgium; Brazil; Bulgaria; Chile; China; Czechia; France; Germany; Greece; Hong Kong; Hungary; Israel; Italy; Japan; Poland; Portugal; Romania; Russia; South Korea; Spain; Taiwan; United Kingdom,2008-06,2012-03,,https://clinicaltrials.gov/study/NCT00678535,2026-09-21T00:38:01.689106+00:00
NCT03599778,XELOX Combined With Apatinib as Post-operative Chemotherapy in Locally Advanced Gastric Adenocarcinoma,UNKNOWN,PHASE1; PHASE2,52,Anhui Provincial Hospital,Apatinib,Disease-free survival (DFS),China,2018-09-01,2025-01-30,,https://clinicaltrials.gov/study/NCT03599778,2026-09-21T00:38:01.689113+00:00
NCT02464215,Effect of Laparoscopy-Assisted Distal Gastrectomy for Locally Advanced Gastric Cancer,UNKNOWN,NA,440,Peking University Cancer Hospital & Institute,open surgery; laparoscopic surgery,Postoperative complication rate,China,2014-03-01,2020-08-31,,https://clinicaltrials.gov/study/NCT02464215,2026-09-21T00:38:01.689118+00:00
NCT04593615,Indocyanine Green Tracer Using in Laparoscopic Radical Gastrectomy for Locally Advanced Gastric Cancer,ACTIVE_NOT_RECRUITING,NA,1070,Fujian Medical University,ICG near-infrared imaging,3-year disease free survival rate,China,2020-11-10,2026-08-17,,https://clinicaltrials.gov/study/NCT04593615,2026-09-21T00:38:01.689123+00:00
NCT04024917,Impact of Cardiac Coherence on Anxiety in Patients Operated on for a Peritoneal Carcinosis,RECRUITING,NA,60,Institut du Cancer de Montpellier - Val d'Aurelle,Cardiac coherence; Standard care,Cardiac Coherence Program Adherence Rate,France,2021-09-21,2026-12,,https://clinicaltrials.gov/study/NCT04024917,2026-09-21T00:38:01.689128+00:00
NCT05068180,Low-dose Neuroleptanalgesia for Postoperative Delirium in Elderly Patients,UNKNOWN,PHASE4,200,RenJi Hospital,low-dose neuroleptanalgesia; Placebo,Incidences of POD after general anesthesia in elderly patients undergoing non-cardiac major surgery,China,2021-10-05,2022-04-10,,https://clinicaltrials.gov/study/NCT05068180,2026-09-21T00:38:01.689133+00:00
NCT01791374,Phase 1/1b Study of Rilotumumab in Japanese Subjects With Advanced Solid Tumors or Advanced or Metastatic Gastric or GEJ,COMPLETED,PHASE1,21,Amgen,Rilotumumab; Rilotumumab,Part1: Dose-limiting toxicities (DLT) for each dose level of rilotumumab tested; Part 2: Dose-limiting toxicities (DLT) for each dose level of rilotumumab in combination with cisplatin and capecitabine (CX) chemotherapy tested,Japan,2012-11,2013-08,,https://clinicaltrials.gov/study/NCT01791374,2026-09-21T00:38:01.689139+00:00
NCT02283359,Selinexor in Combination With Irinotecan in Adenocarcinoma of Stomach and Distal Esophagus,TERMINATED,PHASE1,3,H. Lee Moffitt Cancer Center and Research Institute,Selinexor; Irinotecan,Maximum Tolerated Dose (MTD),United States,2014-12,2015-12,,https://clinicaltrials.gov/study/NCT02283359,2026-09-21T00:38:01.689144+00:00
NCT00268346,Gefitinib in Treating Patients With Recurrent or Metastatic Esophageal or Gastroesophageal Junction Cancer,COMPLETED,PHASE2,58,Case Comprehensive Cancer Center,ZD1839,"The Number of Patients With Complete or Partial Response Rate of Single Agent ZD1839 in a Patient Population With Recurrent or Metastatic Cancer of the Esophagus or Gastroesophageal Junction, Using the RECIST 1.0 Criteria.",United States,2005-10,2011-01,,https://clinicaltrials.gov/study/NCT00268346,2026-09-21T00:38:01.689149+00:00
NCT00004127,Oxaliplatin Combined With Fluorouracil and Leucovorin in Treating Patients With Recurrent or Metastatic Cancer of the Esophagus or Stomach,COMPLETED,PHASE2,35,University of Chicago,FOLFOX regimen; fluorouracil; leucovorin calcium; oxaliplatin,Clinical response rate,Puerto Rico; United States,2000-02,2002-10,,https://clinicaltrials.gov/study/NCT00004127,2026-09-21T00:38:01.689157+00:00
NCT02595424,Cisplatin and Etoposide Versus Temozolomide and Capecitabine in Patients With Advanced Poorly Differentiated (G3) Non-Small Cell Gastrointestinal Neuroendocrine Carcinomas,ACTIVE_NOT_RECRUITING,PHASE2,67,ECOG-ACRIN Cancer Research Group,Capecitabine; Carboplatin; Cisplatin; Etoposide; Laboratory Biomarker Analysis; Temozolomide,Progression-free Survival (PFS),United States,2015-11-06,2025-04-23,,https://clinicaltrials.gov/study/NCT02595424,2026-09-21T00:38:01.689203+00:00
NCT01373346,Safety and Efficacy of Long Limb Roux-en Y Reconstruction,COMPLETED,NA,15,Gangnam Severance Hospital,Long limb Roux-en Y reconstruction,Morbidity; HbA1c; Hemoglobin; Albumin; Operation Related Mortality,South Korea,2010-02,2012-01,,https://clinicaltrials.gov/study/NCT01373346,2026-09-21T00:38:01.689209+00:00
NCT01386346,Epigenetic Priming Using Azacitidine With Neoadjuvant Chemotherapy for Resectable Esophageal Cancer,COMPLETED,PHASE1,12,Weill Medical College of Cornell University,Azacitidine; Oxaliplatin; Epirubicin; Capecitabine,Evaluation of dose limiting toxicity (DLT),United States,2011-06,2014-08,,https://clinicaltrials.gov/study/NCT01386346,2026-09-21T00:38:01.689214+00:00
NCT00202969,"Study of S-1, S-1/CDDP, and 5-FU/CDDP for Advanced Gastric Cancer",COMPLETED,PHASE3,180,"Taiho Pharmaceutical Co., Ltd.",S-1; S-1 plus CDDP; 5-FU plus CDDP,Response rate,China,2005-07,2007-01,,https://clinicaltrials.gov/study/NCT00202969,2026-09-21T00:38:01.689220+00:00
